feature,KS_stat,KS_pvalue
Tag_rate,0.25673992673992674,0.0
Ikssmin_kA,0.041428571428571426,8.558816415260477e-21
Sgn_eff_MVA,0.02893772893772894,2.304841102854754e-10
H_s,0.01934065934065934,7.247282404402299e-05
invH,0.1919047619047619,0.0
Sgn_over_H,0.12073260073260074,7.651204052641216e-174
Sgn_over_Ik,0.03553113553113553,2.083212404784e-15
Ik_over_H,0.11652014652014651,6.442701714917415e-162
log_Sgn_eff_MVA,0.058717948717948665,2.373491381616389e-41
log_Ikssmin_kA,0.04754578754578753,2.964648421688748e-27
