found,base_p,counterfactual_p,l1_change,sample_idx
0,0.999999,0.999999,,0
0,0.999999,0.999999,,1
0,0.999999,0.999999,,2
0,0.999999,0.999999,,3
0,0.999999,0.999999,,4
0,0.999999,0.999999,,5
0,0.999999,0.999999,,6
0,0.999999,0.999999,,7
0,0.999999,0.999999,,8
0,0.999999,0.999999,,9
0,0.999999,0.999999,,10
0,0.999999,0.999999,,11
0,0.999999,0.999999,,12
0,0.999999,0.999999,,13
0,0.999999,0.999999,,14
0,0.999999,0.999999,,15
0,0.999999,0.999999,,16
0,0.999999,0.999999,,17
0,0.999999,0.999999,,18
0,0.999999,0.999999,,19
0,0.999999,0.999999,,20
0,0.999999,0.999999,,21
0,0.999999,0.999999,,22
0,0.999999,0.999999,,23
0,0.999999,0.999999,,24
